ethnic,concept_order,tag,feature_type,core_concept,concept,concept_key,normalized_form,component_tokens,confidence,source_intermediate_proto_from_reduction,lexicon_stage_used,lexicon_family_bucket,note
Alemannic,1,hydronym,river,movement and sound,to flow,to_flow,fleutan,flow_v,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,2,hydronym,river,movement and sound,to run,to_run,rinnan,run_v,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,3,hydronym,river,movement and sound,to rush,to_rush,rusan,rush_v,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,4,hydronym,river,movement and sound,to roll,to_roll,weltan,roll_v,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,5,hydronym,river,movement and sound,to murmur,to_murmur,murmlan,murmur_v,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,6,hydronym,river,movement and sound,to roar,to_roar,remjan,roar_v,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,7,hydronym,river,movement and sound,noisy one,noisy_one,hlud ain,noisy + one,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,8,hydronym,river,movement and sound,fast-moving current,fast_moving_current,snell farand straum,fast + moving + current,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,9,hydronym,lake,visibility and stagnation,standing water,standing_water,standand watar,standing + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,10,hydronym,lake,visibility and stagnation,bright sheet,bright_sheet,berht blad,bright + sheet,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,11,hydronym,lake,visibility and stagnation,mirror,mirror,spegil,mirror,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,12,hydronym,lake,visibility and stagnation,flat water,flat_water,flata watar,flat + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,13,hydronym,lake,visibility and stagnation,basin,basin,bekin,basin,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,14,hydronym,spring,action and sensation,to bubble up,to_bubble_up,wallan upp,bubble_v + up,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,15,hydronym,spring,action and sensation,to leap,to_leap,hlaupan,leap_v,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,16,hydronym,spring,action and sensation,to well forth,to_well_forth,springan fram,well_v + forth,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,17,hydronym,spring,action and sensation,living water,living_water,kwik watar,living + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,18,hydronym,spring,action and sensation,eye of earth,eye_of_earth,augo ertho,eye + earth,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,19,hydronym,well,utility and sensation,dug water,dug_water,graban watar,dug + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,20,hydronym,well,utility and sensation,deep pit,deep_pit,deup grob,deep + pit,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,21,hydronym,well,utility and sensation,sweet water,sweet_water,swot watar,sweet + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,22,hydronym,well,utility and sensation,source,source,spring,source,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,23,hydronym,well,utility and sensation,water hole,water_hole,watar hol,water + hole,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,24,hydronym,fords,utility and navigation,crossing point,crossing_point,farth stad,crossing + point,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,25,hydronym,fords,utility and navigation,shallow,shallow,grund,shallow,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,26,hydronym,fords,utility and navigation,stepping place,stepping_place,stap stad,stepping + place,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,27,hydronym,fords,utility and navigation,animal-passable path,animal_passable_path,deor gangbar weg,animal + passable + path,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,28,oronym,mountain,anatomy and visibility,head,head,haubid,head,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,29,oronym,mountain,anatomy and visibility,peak,peak,topp,peak,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,30,oronym,mountain,anatomy and visibility,summit,summit,berg,summit,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,31,oronym,mountain,anatomy and visibility,stone massif,stone_massif,stain berg,stone + massif,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,32,oronym,mountain,anatomy and visibility,high white hill,high_white_hill,hauh hwit berg,high + white + hill,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,33,oronym,mountain,anatomy and visibility,cloud-cleaver,cloud_cleaver,wolkan klib,cloud + cleaver,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,34,oronym,ridge,anatomy and geometry,spine,spine,hrygg,spine,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,35,oronym,ridge,anatomy and geometry,backbone,backbone,bakbain,backbone,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,36,oronym,ridge,anatomy and geometry,saw,saw,sagu,saw,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,37,oronym,ridge,anatomy and geometry,comb,comb,kamb,comb,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,38,oronym,ridge,anatomy and geometry,long crest,long_crest,lang hrygg,long + crest,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,39,oronym,ridge,anatomy and geometry,ridge line,ridge_line,hrygg linja,ridge + line,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,40,oronym,hill,anatomy and geometry,brow,brow,bruwa,brow,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,41,oronym,hill,anatomy and geometry,breast,breast,brust,breast,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,42,oronym,hill,anatomy and geometry,mound,mound,haug,mound,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,43,oronym,hill,anatomy and geometry,heap,heap,haug,heap,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,44,oronym,hill,anatomy and geometry,swelling,swelling,swellung,swelling,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,45,oronym,hill,anatomy and geometry,small summit,small_summit,lutil berg,small + summit,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,46,insular,island,isolation and geometry,cut off,cut_off,snid af,cut + off,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,47,insular,island,isolation and geometry,in middle of water,in_middle_of_water,mid watar,middle + water,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,48,insular,island,isolation and geometry,place apart,place_apart,stad sundar,place + apart,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,49,insular,island,isolation and geometry,shield,shield,skild,shield,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,50,insular,island,isolation and geometry,floating land,floating_land,flotand land,floating + land,Working,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,Compositional placename seed built from normalized stems; grammar/inflection not applied.
Alemannic,51,coastal,cape,anatomy and navigation,nose,nose,nasa,nose,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,52,coastal,cape,anatomy and navigation,horn,horn,hurn,horn,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
Alemannic,53,coastal,cape,anatomy and navigation,tongue,tongue,tungo,tongue,Medium,Proto-Germanic; Proto-West-Germanic,Old High German / Proto-West-Germanic,Germanic,"Normalized placename stem; ASCII only, no reconstruction marks or diacritics."
