archetype_key,bucket,display_name,share_weight,trait_factors,composite_weights,role_weights,pressure_weights,opportunity_weights,event_options,minimum_score,importance_min,importance_max,promotion_allowed,notes
knowledge_maker,knowledge_makers,Knowledge makers engineers and healers,15,curiosity|positive_extreme|0.13;creativity|positive_extreme|0.12;intellect|positive_extreme|0.12;focus|positive_extreme|0.09;perception|positive_extreme|0.08;discipline|ideal_strength|0.06,Scholar|0.08;Scientist|0.08;Engineer|0.08;Inventor|0.08;Physician|0.07;Archivist|0.05,artisan|0.04;priest|0.03;trader|0.02,patronage|0.03;civic_need|0.03,workshop|0.06;archive|0.06;court|0.03;market_day|0.02,knowledge_culture|scholarly_breakthrough|1.00|scholarship;knowledge_culture|invention|0.85|craft;knowledge_culture|discovery|0.80|navigation;knowledge_culture|medicinal_discovery|0.65|medicine,0.26,0.50,0.95,yes,Canon-making thinkers inventors engineers and physicians.
civic_reformer,civic_reformers,Lawgivers administrators and civic reformers,12,civics|ideal_strength|0.13;justice|ideal_strength|0.11;discipline|ideal_strength|0.10;patience|ideal_strength|0.08;persuasion|ideal_strength|0.08;intellect|positive_extreme|0.05,Benevolent Leader|0.08;Administrator|0.08;Judge|0.07;Mediator|0.06;Diplomat|0.04,ruler|0.05;title_holder|0.05;elder|0.02,succession_crisis|0.05;civic_need|0.05;social_stress|0.03,court|0.06;public_crisis|0.04;crowd|0.03,city_state_civic_reform|city_state_civic_reform|1.00|law;city_state_public_works|city_state_public_works|0.85|civic;knowledge_culture|legal_precedent|0.80|law;public_virtue|public_arbitration|0.70|law;status_rise|status_rise|0.55|governance,0.25,0.45,0.90,yes,Solon Hammurabi Ashoka and city-order patterns as generic events.
cultural_memory_keeper,cultural_memory_keepers,Scribes poets performers and memory keepers,11,creativity|positive_extreme|0.13;wit|positive_extreme|0.09;persuasion|ideal_strength|0.08;focus|ideal_strength|0.08;intellect|positive_extreme|0.07;empathy|ideal_strength|0.05,Performer|0.08;Archivist|0.08;Teacher|0.06;Volatile Artist|0.05;Propagandist|0.04,priest|0.03;trader|0.02,patronage|0.04;social_stress|0.03,archive|0.06;court|0.05;crowd|0.05,knowledge_culture|artistic_triumph|1.00|art;knowledge_culture|famous_performance|0.90|performance;knowledge_culture|scholarly_breakthrough|0.55|records;private_life|rumor|0.35|memory,0.24,0.35,0.85,yes,People whose words performances or records become durable memory.
sacred_disruptor,sacred_disruptors,Sacred disruptors ascetics and ritual specialists,10,persuasion|positive_extreme|0.12;creativity|positive_extreme|0.10;discipline|ideal_strength|0.08;courage|positive_extreme|0.07;humility|positive_extreme|0.06;temperance|positive_extreme|0.05,Priest/Shaman|0.08;Mystic|0.08;Ascetic|0.07;Cult Leader|0.07;Fanatic|0.06,priest|0.07;elder|0.03;ruler|0.02,disaster|0.06;social_stress|0.05;scarcity|0.03,temple|0.07;ritual_site|0.06;crowd|0.04, religious_cultural_conflict|cult_founding|1.00|doctrine;religious_cultural_conflict|false_prophecy|0.75|omen;religious_cultural_conflict|heresy_accusation|0.60|doctrine;religious_cultural_conflict|iconoclasm|0.45|ritual;private_life|hermitage|0.55|withdrawal,0.25,0.40,0.95,yes,Prophets reformers cult founders hermits and oracle-like figures.
trade_broker,trade_brokers,Merchants explorers and cross-cultural brokers,10,adaptability|ideal_strength|0.11;curiosity|positive_extreme|0.10;perception|ideal_strength|0.08;persuasion|ideal_strength|0.08;frugality|ideal_strength|0.06;courage|positive_extreme|0.05,Merchant|0.09;Entrepreneur|0.08;Explorer|0.08;Scout|0.06;Diplomat|0.05,trader|0.08;migrant|0.04,war|0.02;civic_need|0.03,market_day|0.08;trade_route|0.08;port|0.05;court|0.03,knowledge_culture|discovery|0.85|navigation;city_state_colony_status_changed|city_state_colony_status_changed|0.80|trade;patronage_granted|patronage_granted|0.65|trade;elite_household_investment|elite_household_investment|0.55|commerce,0.24,0.35,0.85,yes,Pytheas Zhang Qian Phoenician trader and diplomatic-traveler patterns.
court_broker,court_brokers,Queens regents and court power brokers,9,persuasion|ideal_strength|0.11;perception|ideal_strength|0.10;ambition|positive_extreme|0.08;adaptability|ideal_strength|0.08;discipline|ideal_strength|0.06;courage|positive_extreme|0.04,Diplomat|0.08;Court Favorite|0.07;Hidden Manipulator|0.07;Patron|0.06;Sycophant Courtier|0.04,ruler|0.06;title_holder|0.06;heir|0.06;household_head|0.03,succession_crisis|0.08;faction_tension|0.05;office_tension|0.05,court|0.08;faction_network|0.06;document_access|0.04,patronage_granted|patronage_granted|1.00|court;political_crime|conspiracy|0.65|court;political_crime|forged_claim|0.50|succession;private_life|hidden_patronage|0.55|court;status_rise|status_rise|0.50|court,0.25,0.40,0.90,yes,Cleopatra Hatshepsut regent hostage and court-maker patterns without requiring literal monarchies.
local_patron,local_patrons,Local patrons civic founders and benefactors,8,generosity|ideal_strength|0.11;civics|ideal_strength|0.10;frugality|ideal_strength|0.08;discipline|ideal_strength|0.07;loyalty|ideal_strength|0.06;persuasion|ideal_strength|0.05,Patron|0.09;Good Neighbor|0.08;Benevolent Leader|0.06;Administrator|0.05,household_head|0.04;ruler|0.03;title_holder|0.03,civic_need|0.05;scarcity|0.04,public_crisis|0.05;market_day|0.03;court|0.03,elite_household_investment|elite_household_investment|0.90|civic;public_virtue|public_mercy|0.85|relief;city_state_public_works|city_state_public_works|0.70|civic;patronage_granted|patronage_granted|0.65|patronage,0.23,0.30,0.85,yes,Locally important temple patrons town founders and public benefactors.
rebel_resistance,rebel_resistance,Rebels resistance leaders and conscience figures,7,courage|positive_extreme|0.12;justice|ideal_strength|0.09;loyalty|ideal_strength|0.08;assertiveness|positive_extreme|0.08;resilience|ideal_strength|0.07;persuasion|positive_extreme|0.05,Revolutionary|0.09;Truth-Teller|0.07;Peacekeeper|0.05;Demagogue|0.04,soldier|0.04;title_holder|0.03;street_precarious|0.03,war|0.08;faction_tension|0.06;succession_crisis|0.05;status_fall|0.03,public_crisis|0.06;crowd|0.05;court|0.04,public_virtue|refusal_unjust_orders|0.90|justice;political_crime|treason|0.65|revolt;political_crime|usurpation_plot|0.50|revolt;city_state_liberated|city_state_liberated|0.65|autonomy;city_state_exile_decreed|city_state_exile_decreed|0.35|faction,0.25,0.45,0.95,yes,Spartacus Judas Maccabeus Vercingetorix and public-conscience patterns.
commander_strategist,commanders_strategists,Commanders strategists and conqueror founders,6,physical|ideal_strength|0.08;courage|ideal_strength|0.08;discipline|ideal_strength|0.09;focus|ideal_strength|0.09;perception|ideal_strength|0.08;assertiveness|positive_extreme|0.07;ambition|positive_extreme|0.07,Commander|0.09;Strategist|0.09;Warrior|0.06;Tyrant|0.05,soldier|0.07;ruler|0.06;title_holder|0.04,war|0.08;faction_tension|0.04;succession_crisis|0.04,battlefield|0.06;court|0.05;faction_network|0.05,status_rise|status_rise|0.75|military;city_state_hegemony_declared|city_state_hegemony_declared|0.65|hegemony;political_crime|usurpation_plot|0.45|office;public_virtue|loyal_service|0.60|office,0.25,0.50,1.00,yes,Sargon Alexander Chandragupta and Hannibal-like strategic visibility.
outlaw_conspirator,outlaws_conspirators,Outlaws pirates conspirators and dangerous specialists,5,justice|negative_extreme|0.12;honesty|negative_extreme|0.11;empathy|negative_extreme|0.08;courage|positive_extreme|0.08;adaptability|ideal_strength|0.07;persuasion|positive_extreme|0.06;perception|ideal_strength|0.05,Criminal Mastermind|0.10;Spy|0.08;Thief|0.08;Hidden Manipulator|0.07;Con Artist|0.05,street_precarious|0.05;trader|0.03;soldier|0.03,debt|0.06;status_fall|0.05;war|0.03,market_day|0.04;isolated|0.04;faction_network|0.04,outlaw_case_opened|extortion|0.85|crime;political_crime|bribery|0.60|court;political_crime|conspiracy|0.55|plot;property_crime|extortion|0.50|crime,0.27,0.45,0.90,no,Pirate chiefs bandit captains and court conspirators; no passive promotion by default.
