composite_id,composite_name,component_1_trait,component_1_position,component_2_trait,component_2_position,component_3_trait,component_3_position,disqualifier_1_trait,disqualifier_1_position,disqualifier_2_trait,disqualifier_2_position,composite_family,short_definition,conversion_note
C001,Alluring Beauty,symmetry,peak,mating drive,excessive,modesty,deficient,friendliness,deficient,,,social_romantic,"A person whose presentation, confidence, and mating signal are unusually compelling. This is the example build: beauty plus social/romantic forwardness.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C002,Quiet Beauty,symmetry,peak,modesty,excessive,mating drive,peak,persuasion,excessive,,,social_presentation,A person with strong visual appeal but muted self-presentation; admired more than pursued.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C003,Magnetic Charmer,persuasion,peak,wit,peak,friendliness,peak,,,,,social_leadership,"A socially fluent person who wins cooperation through charm, humor, and emotional timing.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C004,Con Artist,persuasion,excessive,honesty,deficient,empathy,deficient,justice,peak,,,social_criminal,A manipulative social operator who reads desire and sells falsehoods cleanly.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C005,Benevolent Leader,civics,peak,justice,peak,persuasion,peak,ambition,excessive,assertiveness,excessive,leadership_governance,A leader who can direct people without reducing them to tools.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C006,Tyrant,civics,deficient,ambition,excessive,assertiveness,excessive,empathy,peak,humility,peak,leadership_coercion,"A domination-first leader who values order, obedience, and personal power above legitimacy.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C007,Revolutionary,civics,excessive,persuasion,peak,courage,peak,patience,excessive,,,political_leadership,A person driven to overturn existing systems in the name of a different order.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C008,Fanatic,justice,excessive,focus,excessive,loyalty,excessive,adaptability,peak,empathy,peak,ideology_conflict,"A certainty-driven person who pursues a cause past normal mercy, nuance, or doubt.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C009,Scholar,intellect,peak,curiosity,peak,discipline,peak,focus,deficient,,,knowledge_education,"A knowledge-first person who can learn, retain, compare, and teach complex ideas.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C010,Scientist,intellect,peak,curiosity,peak,honesty,peak,creativity,deficient,,,knowledge_research,"A truth-testing person who combines curiosity, method, perception, and honesty.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C011,Mad Genius,intellect,excessive,creativity,excessive,neurochemical,excessive,temperance,peak,humility,peak,knowledge_creativity,A brilliant but unstable originator whose insights arrive with social or practical fallout.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C012,Engineer,intellect,peak,discipline,peak,focus,peak,creativity,excessive,,,knowledge_craft,A practical problem-solver who turns knowledge into durable systems.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C013,Inventor,creativity,peak,curiosity,peak,intellect,peak,discipline,deficient,,,knowledge_craft,A novelty-maker who sees a missing tool before anyone else does.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C014,Artisan,creativity,peak,discipline,peak,focus,peak,patience,deficient,,,craft_art,A craft-centered person who makes useful or beautiful things through patience and attention.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C015,Performer,creativity,peak,wit,peak,persuasion,peak,modesty,excessive,,,art_social,A public-facing creator who converts expression into attention and social energy.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C016,Buffoon,wit,excessive,modesty,deficient,discipline,deficient,temperance,peak,,,social_comedy,A comic personality whose need to entertain overwhelms judgment or dignity.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C017,Warrior,physical,peak,courage,peak,discipline,peak,resilience,deficient,,,combat_protection,"A combat-ready person with strength, courage, discipline, and loyalty.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C018,Berserker,courage,excessive,physical,excessive,neurochemical,excessive,temperance,peak,patience,peak,combat_danger,A dangerous front-line fighter powered by aggression and low restraint.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C019,Guardian,courage,peak,nurturance,peak,loyalty,peak,empathy,deficient,,,combat_caregiving,A protective person who uses strength and courage in service of others.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C020,Hunter,perception,peak,physical,peak,patience,peak,focus,deficient,,,subsistence_combat,"A patient, perceptive, physically capable provider who can wait for the right moment.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C021,Scout,perception,peak,adaptability,peak,courage,peak,,,,,fieldcraft_exploration,"A mobile observer who survives by noticing, adapting, and returning with information.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C022,Explorer,adaptability,peak,curiosity,peak,courage,peak,,,,,fieldcraft_curiosity,A novelty-seeking person who pushes boundaries and survives unfamiliar conditions.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C023,Physician,intellect,peak,empathy,peak,nurturance,peak,perception,deficient,discipline,deficient,health_knowledge,"A skilled healer who combines knowledge, observation, patience, and care.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C024,Caregiver,nurturance,peak,empathy,peak,patience,peak,,,,,caregiving_social,A person who reliably tends the vulnerable without turning care into control.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C025,Smotherer,nurturance,excessive,empathy,excessive,loyalty,excessive,humility,peak,adaptability,peak,caregiving_control,"A person whose care becomes control, overprotection, or emotional engulfment.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C026,Therapist,empathy,peak,neurochemical,peak,patience,peak,honesty,deficient,,,health_social,"A person who can perceive emotional truth, stay stable, and help others regulate.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C027,Mediator,patience,peak,empathy,peak,civics,peak,assertiveness,excessive,,,law_social,"A conflict resolver who balances truth, patience, empathy, and civic-mindedness.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C028,Judge,justice,peak,honesty,peak,temperance,peak,,,,,law_governance,"A person oriented toward fair decisions, evidence, restraint, and social order.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C029,Detective,perception,peak,curiosity,peak,focus,peak,honesty,deficient,patience,deficient,law_investigation,A truth-finder who notices anomalies and follows evidence through uncertainty.,Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C030,Spy,perception,peak,adaptability,peak,persuasion,peak,,,,,intelligence_deception,"An information gatherer who uses adaptation, perception, and social masking.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C031,Thief,justice,deficient,perception,peak,adaptability,peak,honesty,peak,,,criminal_stealth,"A practical lawbreaker who survives through timing, perception, mobility, and low scruple.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
C032,Criminal Mastermind,justice,deficient,intellect,peak,ambition,excessive,empathy,peak,,,criminal_leadership,"A strategic predator who coordinates deception, ambition, and immoral planning.",Converted from weighted original: top 3 positive primary/support traits; strongest counter traits as disqualifiers.
