year,scope,infant_mortality_pct,under5_mortality_pct,percent_reaching_age_100,major_innovations_or_drivers,notes
-10000,Global estimate,42.0,62.0,0.0001,Late hunter-gatherer subsistence with no formal sanitation or medicine,"Small-band living limits some epidemics but trauma, infection, and food stress keep mortality very high."
-5000,Global estimate,41.0,60.0,0.0001,Neolithic farming transition and early settled villages,"Higher fertility but heavier infectious burden and periodic crop failure."
-3000,Global estimate,40.0,58.0,0.0001,Early cities and states emerge with basic irrigation and grain storage,"Urban crowding raises epidemic risk despite improved food buffering."
-1000,Global estimate,39.0,56.0,0.0001,Iron Age agriculture and trade expansion,"Warfare, famine, and endemic disease remain dominant mortality pressures."
0,Global estimate,38.0,55.0,0.0001,Classical-era empires and road networks with limited public hygiene systems,"Some regional infrastructure gains offset by dense settlement disease exposure."
500,Global estimate,37.0,54.0,0.0001,Post-classical political fragmentation and recurrent epidemic cycles,"Regional instability sustains high infant and child mortality."
1000,Global estimate,36.0,52.0,0.0001,Medieval agrarian economies with limited sanitation and medicine,"Frequent famine and epidemic shocks; extreme infant and child risk."
1200,Global estimate,35.0,50.0,0.0001,Incremental gains in food storage and trade networks,"Some regional stability gains but mortality remains very high."
1350,Global estimate,40.0,58.0,0.0001,Black Death era and recurrent plague waves,"Major mortality shock period; long-run survival collapses in many regions."
1500,Global estimate,34.0,50.0,0.0001,Post-plague demographic recovery and expanding interregional exchange,"Recovery underway but infectious burden still dominant."
1600,Global estimate,33.0,48.0,0.0002,Early modern state capacity and local poor-relief institutions,"Mortality remains volatile due to war, harvest failures, and epidemics."
1700,Global estimate,31.0,46.0,0.0003,Proto-public-health measures (quarantine, urban rules) and better crop diffusion,"Gradual improvement before industrial-era sanitation and vaccines."
1750,Global estimate,30.0,45.0,0.0005,Pre-industrial agriculture and sanitation limits,"High famine/infection burden; very low old-age survival."
1800,Global estimate,24.0,43.0,0.0010,Early smallpox inoculation and first vaccine diffusion,"Child survival still very poor in most regions."
1850,Global estimate,22.0,38.0,0.0200,Urban public health reforms begin in Europe/North America,"Centenarian reach remains exceptionally rare."
1900,Global estimate,16.5,30.0,0.0500,Germ theory adoption; municipal water filtration/chlorination; sewer expansion,"Large regional inequality persists."
1930,Global estimate,13.0,23.0,0.1000,Maternal-infant care expansion; pasteurization; nutrition and housing gains,"Pre-antibiotic but major hygiene gains."
1950,Global estimate,9.7,23.0,0.2500,Antibiotics; vaccines scale-up; obstetric/neonatal care improvements,"Under-5 value aligns with UN-IGME style global estimates."
1975,Global estimate,6.5,14.0,0.5000,Expanded immunization programs; oral rehydration therapy; better primary care,"Child mortality decline accelerates in many LMICs."
2000,Global estimate,3.0,7.6,1.0000,Global vaccine coverage, sanitation access growth, better emergency/ICU medicine,"Share reaching 100 rises with cardiovascular and cancer survival gains."
2010,Global estimate,2.4,5.2,1.4000,HIV treatment scale-up, neonatal care improvements, improved hypertension/statin use,"Older-age survival improves further."
2020,Global estimate,2.9,4.0,1.8000,Modern NICU and infection control, broad chronic disease management, advanced elder care,"Pandemic-era setbacks in some places but long-run survival remains high."
2024,Global estimate,2.7,3.6,2.0000,Precision screening/therapy uptake and sustained public health systems,"Milestone snapshot for contemporary calibration."
