event_key,event_family,minimum_context,probability_traits,preconditions,likely_witnesses,consequence_hooks,importance_min,importance_max,default_record_type,default_visibility,preservation_defaults,public_unknown_view,public_rumored_view,public_known_view,prose_tone_variants,notes
status_rise,status_mobility,person+settlement,ambition+;discipline+;persuasion+;civics+;honesty+,achievement;surplus;public_recognition,household;guild;court;market,reputation;patronage;class_position,0.35,0.85,public_status_record,public_known,public_record_or_local_memory,standing improves but cause unclear,rumor credits patron talent marriage or luck,record names person new status and reason,annal;guild_memory;court_record,Upper-echelon mobility event.
elite_job_promoted,status_mobility,person+job+settlement,ambition+;discipline+;focus+;persuasion+;intellect+,scarce_role;local_surplus;patron_or_reputation,guild;court;market;household,reputation;job_state;patronage,0.45,0.90,public_status_record,public_known,public_record_or_guild_memory,new title appears with uncertain sponsor,rumor debates merit patronage or bribery,record names person role sponsor and settlement,guild_memory;court_record;annal,Prestige job access event.
patronage_granted,status_mobility,patron+client+settlement,persuasion+;loyalty+;ambition+;generosity+;civics+,elite_patron;client_potential;access_gap,household;retainers;guild;court,obligation;reputation;promotion_access,0.30,0.80,household_memory,rumored,household_memory_or_court_note,client advances with sponsor unclear,rumor names patron bargain favor or family tie,record names patron client and obligation,rumor;household_memory;court_record,Patron/client tie.
status_fall,status_mobility,person+settlement,ambition+;honesty-;temperance-;discipline-;neurochemical+,debt;scandal;failed_office;lost_patron,market;court;household;creditor,reputation_loss;obligation;legal_fallout,0.35,0.90,public_status_record,rumored,rumor_or_court_record,standing drops with cause unclear,rumor blames debt vice fraud or patron loss,record names person cause and consequence,rumor;court_record;annal,Prestige fall event.
elite_household_investment,economy,patron+household+settlement,ambition+;generosity+;civics+;frugality-;discipline+,surplus;standing;local_opportunity,market;guild;retainers;court,prosperity;patronage;service_demand,0.35,0.85,settlement_chronicle,public_known,settlement_record_or_local_memory,public works appear with funder unclear,rumor credits elite gift bargain or display,record names household patron investment and settlement,annal;guild_memory;court_record,Elite surplus affects settlement.
murder,violent_crime,actor+victim+settlement,justice-;empathy-;temperance-;patience-;ambition+;courage+,grievance;scarcity;privacy;weapon_or_opportunity,household;neighbors;market;court,death;feud;risk_succession;faction_memory,0.55,0.95,violent_crime_record,rumored,rumor_then_court_or_lost,victim missing or death cause unknown,blame tale names suspect monster bandit or curse,record names killer victim place motive,rumor;court_record;later_reconstruction,Vertical-slice lethal crime truth can differ from public memory.
feud_killing,violent_crime,actor+victim+settlement,justice-;empathy-;loyalty+;courage+;temperance-,prior_grievance;kin_or_faction_tension,kin;neighbors;retainers,death;feud_escalation;faction_memory,0.60,0.98,violent_crime_record,rumored,oral_feud_memory_or_lost,victim slain but feud author unclear,vengeance rumor assigns faction blame,record names killer feud and grievance,rumor;feud_song;court_record,Represents retaliatory killing.
domestic_killing,violent_crime,actor+victim+household,empathy-;temperance-;patience-;mating_drive+;neurochemical+,household_conflict;jealousy;scarcity,household;children;neighbors,death;relationship_break;household_crisis,0.60,0.95,violent_crime_record,rumored,household_secret_or_rumor,household member disappears or dies suddenly,whispers blame spouse paramour or curse,record names household killer and victim,household_memory;rumor;court_record,Truth may be hidden by household members.
attempted_murder,violent_crime,actor+target+settlement,justice-;empathy-;courage+;ambition+;discipline+,rivalry;failed_opportunity;witness_interrupts,witnesses;guards;household,injury;feud;legal_fallout,0.45,0.85,violent_crime_record,rumored,rumor_or_court_record,target harmed with unclear attacker,rumor names suspect or motive,record names attacker target method,rumor;court_record;admin_summary,Nonfatal but consequential.
assault,violent_crime,actor+target+settlement,temperance-;patience-;assertiveness+;empathy-,insult;scarcity;crowding,neighbors;market;work_party,injury;reputation;feud_seed,0.25,0.70,violent_crime_record,rumored,local_memory_or_lost,injury known with unclear attacker,talk blames hot temper or feud,record names assailant target and setting,terse_annal;rumor;court_record,Lower-importance violence.
duel,violent_crime,duelist_a+duelist_b+settlement,courage+;honor+;assertiveness+;temperance-,formal_challenge;public_insult,seconds;crowd;court,injury_or_death;reputation;legal_fallout,0.45,0.90,violent_crime_record,public_known,public_memory_or_court,injury or death known but challenger unclear,rumor debates fairness or cheating,record names duelists cause and outcome,court_record;bardic;annal,Can be public even when motives distort.
assassination_attempt,violent_crime,actor+target+office_or_place,ambition+;justice-;discipline+;courage+;loyalty-,office_tension;succession_crisis;guard_gap,guards;retainers;court,injury;title_crisis;purge;faction_memory,0.70,1.00,court_chronicle,rumored,court_record_or_sealed,target threatened by unknown hand,rumor names faction patron or outsider,record names attacker patron target and office,court_record;sealed_archive;later_reconstruction,High political impact even when failed.
theft,property_survival_crime,actor+target+settlement,honesty-;justice-;empathy-;frugality+;adaptability+,opportunity;need;low_witnesses,market;neighbors;household,property_loss;reputation;obligation,0.20,0.65,property_crime_record,rumored,local_memory_or_lost,goods missing with culprit unknown,market talk blames suspect or outsider,record names thief target and goods,market_rumor;court_roll;annal,Representative property-crime slice.
livestock_theft,property_survival_crime,actor+target+settlement,honesty-;justice-;adaptability+;perception+,rural_opportunity;scarcity;valuable_target,herders;neighbors;market,property_loss;feud_seed;settlement_stability,0.30,0.75,property_crime_record,rumored,local_memory_or_lost,animals vanish from herd,rumor follows tracks to suspect or rival hamlet,record names thief herd and route,market_rumor;court_roll;household_memory,Rural survival or market theft.
storehouse_robbery,property_survival_crime,actor+target+settlement,honesty-;justice-;ambition+;discipline+;perception+,scarcity;stored_goods;guard_gap,guards;porters;neighbors,property_loss;food_pressure;legal_fallout,0.40,0.85,property_crime_record,rumored,court_or_settlement_record,stores found depleted with no culprit,rumor blames hungry crowd guild or official,record names robbers target and loss,court_roll;rumor;annal,Scarcity theft can affect settlement stability.
debt_evasion,property_survival_crime,actor+creditor+settlement,honesty-;justice-;persuasion+;discipline+,debt;status_pressure;weak_court,creditor;scribes;neighbors,obligation_default;reputation;legal_fallout,0.25,0.70,property_crime_record,rumored,court_roll_or_lost,debt unresolved without cause,rumor claims forged excuse flight or patron shield,record names debtor creditor and obligation,court_roll;market_rumor;admin_summary,Useful for future obligation system.
fraud,property_survival_crime,actor+target+settlement,honesty-;justice-;persuasion+;perception+;ambition+,transaction;document_or_claim;trust_access,market;scribes;guild,property_loss;reputation;legal_fallout,0.35,0.80,property_crime_record,rumored,court_or_guild_record,loss discovered but method unclear,rumor names false weights forged mark or lying witness,record names fraudster target and method,court_roll;guild_memory;rumor,Representative deception crime.
extortion,property_survival_crime,actor+target+settlement,empathy-;justice-;assertiveness+;ambition+;courage+,power_gap;threat;weak_order,victim_household;neighbors;guards,property_loss;fear;faction_memory,0.35,0.85,property_crime_record,rumored,local_fear_or_court,tribute paid with coercer unnamed,rumor says gang official or patron demanded payment,record names coercer target and threat,court_roll;rumor;admin_summary,Can bridge crime and politics.
scarcity_hoarding,property_survival_crime,actor+settlement,empathy-;justice-;frugality+;discipline+;perception+,scarcity;stored_goods;status_advantage,neighbors;market;household,food_pressure;unrest;reputation,0.30,0.80,property_crime_record,rumored,market_memory_or_lost,shortage worsens with hidden stores suspected,rumor names hoarder or secret granary,record names stores holder and public harm,market_rumor;annal;court_roll,Survival crime during resource pressure.
affair_exposed,household_scandal,accused+paramour+settlement,mating_drive+;loyalty-;modesty-;honesty-;discipline-,existing_paramour;public_exposure,spouse;neighbors;household,relationship_break;legal_fallout;reputation,0.30,0.80,scandal_record,rumored,household_rumor_or_lost,household strain known but cause hidden,whispers join accused and paramour,record names paramours betrayed partners and fallout,household_memory;rumor;court_record,Vertical-slice scandal.
disputed_parentage,household_scandal,parent+child+household,honesty-;mating_drive+;loyalty-;persuasion+;perception+,inheritance_pressure;affair_rumor;childbirth,household;midwife;kin,legitimacy_rumor;inheritance_fallout;faction_memory,0.45,0.90,scandal_record,rumored,lineage_memory_or_sealed,parentage uncertain in household memory,rumor names alternate parent or curse,record states claim evidence and accepted lineage,lineage_roll;rumor;later_reconstruction,Important for succession.
elopement,household_scandal,partner_a+partner_b+settlement,courage+;mating_drive+;loyalty+;assertiveness+;patience-,blocked_union;family_pressure,kin;neighbors;travelers,couple_shift;household_conflict;migration,0.30,0.75,household_memory,public_known,household_memory_or_song,two people vanish together but intent unclear,rumor claims abduction or forbidden love,record names couple route and household reaction,household_memory;bardic;annal,Can be virtue or scandal depending context.
coerced_patronage,household_scandal,patron+dependent+settlement,empathy-;justice-;ambition+;assertiveness+;persuasion+,power_gap;debt;office_or_job_access,household;guild;court,obligation;reputation;legal_fallout,0.45,0.90,scandal_record,rumored,sealed_or_rumor,dependent tied to patron with cause hidden,rumor claims coercion debt or blackmail,record names patron dependent and pressure,rumor;sealed_archive;court_record,Dark household/status scandal.
abandonment,household_scandal,actor+dependent+settlement,empathy-;nurturance-;loyalty-;resilience-;frugality+,dependent_care;scarcity;flight,kin;neighbors;temple,household_crisis;obligation;reputation,0.30,0.80,household_memory,rumored,household_memory_or_lost,dependent left without known reason,rumor blames poverty shame or new lover,record names abandoned dependent and responsible actor,household_memory;rumor;annal,Private life may later matter.
neglect,household_scandal,actor+dependent+household,empathy-;nurturance-;discipline-;temperance-,dependent_care;stress;scarcity,neighbors;kin;healers,health_loss;household_crisis;reputation,0.25,0.75,household_memory,private_known,household_memory_or_lost,dependent suffers with cause unclear,rumor blames cruel guardian or curse,record names neglecting actor dependent and harm,household_memory;rumor;admin_summary,Usually private until severe.
inheritance_fraud,household_scandal,actor+target+household,honesty-;justice-;ambition+;persuasion+;discipline+,death;inheritance;document_or_claim,kin;scribes;court,legal_fallout;obligation;faction_memory,0.45,0.90,scandal_record,rumored,court_roll_or_sealed,inheritance disrupted by unclear claim,rumor names forged heir witness or document,record names fraudster target claim and ruling,court_roll;rumor;later_reconstruction,Links property and household scandal.
conspiracy,political_crime,actors+target_office+polity,ambition+;loyalty-;discipline+;persuasion+;justice-,office_tension;succession_crisis;faction_network,co_conspirators;spies;court,title_crisis;purge;faction_memory,0.65,1.00,court_chronicle,rumored,sealed_archive_or_court,plot discovered with authors unknown,rumor names faction or foreign hand,record names conspirators target and plan,sealed_archive;court_record;later_reconstruction,Political crime foundation row.
treason,political_crime,actor+polity+target,loyalty-;ambition+;justice-;persuasion+;discipline+,war;foreign_contact;office_access,spies;court;envoys,exile;execution;title_crisis;faction_memory,0.70,1.00,court_chronicle,rumored,court_record_or_purge,public defeat or leak with traitor unknown,rumor names betrayer or rival court,record names traitor act and sentence,court_record;sealed_archive;annal,High-preservation public politics.
forged_claim,political_crime,actor+claim_target+court,honesty-;ambition+;persuasion+;discipline+;civics-,succession_or_land_claim;document_access,scribes;court;kin,legal_fallout;succession_challenge;reputation,0.55,0.95,court_chronicle,rumored,court_roll_or_sealed,claim appears with doubtful origin,rumor says forged seal or bought witness,record names claimant document and ruling,court_roll;rumor;later_reconstruction,Useful for title/legal systems.
bribery,political_crime,actor+official+settlement,honesty-;justice-;ambition+;persuasion+;frugality-,office_decision;valuable_favor,officials;scribes;petitioners,reputation;legal_fallout;policy_shift,0.40,0.85,court_chronicle,rumored,sealed_or_rumor,decision changes with cause hidden,rumor says silver changed hands,record names briber official and favor,court_record;rumor;sealed_archive,Can affect offices and courts.
sabotage,political_crime,actor+target_place+settlement,justice-;loyalty-;discipline+;courage+;perception+,war_or_rivalry;access;valuable_infrastructure,guards;workers;spies,property_loss;warfare_effect;faction_memory,0.50,0.95,court_chronicle,rumored,investigation_or_lost,damage discovered with culprit unknown,rumor names rival faction or enemy,record names saboteur target and damage,court_record;rumor;annal,Political/property bridge.
usurpation_plot,political_crime,actor+office+polity,ambition+;loyalty-;persuasion+;discipline+;courage+,succession_crisis;supporters;weak_ruler,court;retainers;spies,title_crisis;rebellion;faction_memory,0.75,1.00,court_chronicle,rumored,sealed_archive_or_public_trial,throne tension known but plot hidden,rumor names would-be usurper and backers,record names plot leader office and outcome,court_record;later_reconstruction;annal,High-impact political event.
false_accusation,political_crime,actor+target+court,honesty-;justice-;persuasion+;ambition+;empathy-,rivalry;court_access;plausible_charge,court;witnesses;scribes,legal_fallout;reputation;faction_memory,0.45,0.90,court_chronicle,rumored,court_or_rumor,charge exists but truth unknown,rumor debates liar target or motive,record names accuser target charge and finding,court_record;rumor;later_reconstruction,Works for political and religious accusations.
heresy_accusation,religious_cultural_conflict,accuser+target+settlement,justice+;fanaticism+;civics+;empathy-;persuasion+,doctrine_tension;ritual_deviation;authority,priests;neighbors;court,legal_fallout;purge;faction_memory,0.45,0.95,temple_chronicle,rumored,temple_record_or_rumor,accusation known but doctrine unclear,rumor claims secret rites or malicious charge,record names accuser target doctrine and judgment,temple_chronicle;rumor;court_record,Religious conflict foundation.
sacrilege,religious_cultural_conflict,actor+shrine_or_place,justice-;empathy-;courage+;temperance-;civics-,ritual_site;grievance;low_guard,priests;pilgrims;neighbors,unrest;legal_fallout;reputation,0.45,0.90,temple_chronicle,rumored,temple_record_or_lost,holy damage discovered with culprit unknown,rumor names offender or omen,record names actor site and act,temple_chronicle;rumor;annal,Can spawn purge or scandal.
false_prophecy,religious_cultural_conflict,actor+settlement,persuasion+;creativity+;neurochemical+;honesty-;civics-,stress;disaster;audience,followers;priests;market,faction_memory;unrest;cult_seed,0.40,0.85,temple_chronicle,rumored,oral_tradition_or_lost,strange prophecy remembered without source,rumor magnifies omen miracle or fraud,record names prophet claim and outcome,rumor;temple_chronicle;later_reconstruction,Cultural/religious rumor bridge.
cult_founding,religious_cultural_conflict,founder+settlement,persuasion+;creativity+;fanaticism+;courage+;discipline+,followers;doctrine_gap;social_stress,followers;priests;neighbors,institution_seed;faction_memory;unrest,0.55,0.95,temple_chronicle,rumored,oral_tradition_or_chronicle,new rites appear with founder unclear,rumor calls founder saint fraud or sorcerer,record names founder doctrine place and followers,temple_chronicle;rumor;later_reconstruction,May become institution later.
censorship,religious_cultural_conflict,official+target_work+settlement,civics+;justice+;fanaticism+;ambition+;empathy-,controversial_work;authority;scribe_network,scribes;priests;court,knowledge_loss;reputation;faction_memory,0.45,0.90,court_chronicle,public_known,court_or_temple_record,work disappears with suppressor unknown,rumor says temple court or guild silenced it,record names suppressor work and reason,court_record;temple_chronicle;annal,Can affect knowledge preservation.
purge,religious_cultural_conflict,authority+targets+settlement,fanaticism+;justice+;empathy-;discipline+;ambition+,heresy_claim;crisis;armed_support,court;priests;crowd,exile;death;faction_memory;institution_shift,0.70,1.00,temple_chronicle,public_known,public_record_or_trauma,people vanish under unclear authority,rumor names hidden doctrine or faction enemy,record names authority targets charge and punishment,temple_chronicle;court_record;annal,High-impact public cultural conflict.
iconoclasm,religious_cultural_conflict,actor+site+settlement,civics+;fanaticism+;courage+;temperance-;creativity-,ritual_conflict;site_access,crowd;priests;guards,unrest;knowledge_loss;reputation,0.55,0.95,temple_chronicle,rumored,temple_record_or_rumor,image or symbol destroyed with culprit unclear,rumor names zealots enemy or omen,record names actor site object and motive,temple_chronicle;rumor;annal,Concrete cultural conflict.
