trait,deviation_band,descriptor,status_tendency,leader_quality,leader_tendency,prehistoric_jobs,prehistoric_premium_jobs,bronze_age_jobs,bronze_age_premium_jobs,iron_age_jobs,iron_age_premium_jobs,medieval_jobs,medieval_premium_jobs,modern_jobs,modern_premium_jobs,society_need,selfish_desperate,strong_pairings,role_cluster,overlap_notes,design_notes
physical,deficient,frailty,low,moderate,low,hearth tender; bead stringer; child watcher; tool sorter; camp cook; gatherer near camp,tribal champion,textile worker; granary helper; temple cleaner; water carrier; brick carrier; scribe assistant,royal workshop specialist,household servant; temple attendant; clerk assistant; market helper; village smith helper; workshop assistant,siege craft specialist,copyist assistant; chapel attendant; kitchen hand; spinner; brewery assistant; light craft worker,guild master,help desk agent; data entry clerk; lab assistant; receptionist; shift supervisor; remote support agent,master artisan,0.55,0.65,patience; discipline; empathy; focus,sheltered support and fine routine,Repeats support roles used by low-stamina but steady personalities.,Useful for characters who can still contribute when physical output is capped.
physical,optimal,peak fitness,middle-high,strong,high,band defender; hunter; fisher; runner; river gatherer; shelter builder,spirit guide,dock worker; soldier; farmer; mason; irrigation trench digger; caravan guard,temple astronomer,road builder; legionary [M]; athlete; sailor; road repair crew; blacksmith striker,arena master,soldier; mason; teamster; mill worker; brewer; baker,clockmaker; longbowman [M]; fire warden,firefighter; soldier; athlete; trainer; EMT; field service technician; construction worker,master architect,1.00,0.35,courage; resilience; discipline; assertiveness,labor defense and high-output service,"Fighter, firefighter, athlete, and leader should also appear under courage/resilience/discipline.","Peak fitness is a gateway trait, not a whole vocation by itself."
physical,excess,hypermetabolic,volatile,moderate,low,hunter; danger scout; messenger; raider; bone tool maker; persistence runner,master toolmaker,courier; chariot runner; mine runner; caravan outrider; dock porter; weaver,chariot master; shock infantry [M],skirmisher; messenger; scout; mill assistant; miller; brewer,dueling judge; gladiator [M]; galley rower [M],courier; raider; siege runner; scout; parish laborer; weaver,siege engineer; duelist,bike courier; athlete; emergency responder; stunt performer; medical aide; nurse aide,crisis mediator; expedition guide,0.75,0.70,courage; adaptability; resilience; focus,burst-performance risk and speed,"Courier, scout, and responder overlap with courage/adaptability/resilience.",Good for jobs where speed beats longevity; bad for steady administration.
intellect,deficient,cognitive deficiency,low,poor,low,herder; berry picker; camp sweeper; wood hauler; hide preparer; firewood carrier,tribal champion,grain porter; canal digger; stable hand; field hand; kiln assistant; mud-brick laborer,royal workshop specialist,baggage carrier; quarry laborer; farmhand; rower; ferry hand; road crew laborer,siege craft specialist,muck worker; field hand; scullion; porter; town crier assistant; infantry levy,guild master,groundskeeper; warehouse worker; stock clerk; janitorial aide; dispatch clerk; assembly worker,master artisan,0.70,0.75,physical; patience; loyalty,supervised routine labor,"Routine jobs recur with patience, loyalty, and frailty when supervision matters.","Keep this humane: low intellect limits role complexity, not social worth."
intellect,optimal,peak intellect,high,strong,medium,fire specialist; strategist; toolmaker; healer; camp cook; harvest planner,spirit guide,astronomer-priest; accountant; architect; scribe; brick carrier; irrigation worker,temple astronomer,philosopher; physician; engineer; jurist; village smith helper; military strategist,arena master,legal clerk; physician; architect; scholar; brewery assistant; master artisan,clockmaker,software engineer; analyst; physician; scientist; professor; shift supervisor,master architect; systems designer,1.00,0.25,curiosity; discipline; focus; creativity; perception,technical planning knowledge and systems,"Scientist, physician, engineer, analyst, and scholar intentionally repeat under curiosity/focus/discipline.",This is one of the main intersection traits for expert jobs.
intellect,excess,cognitive instability,volatile-high,moderate,medium,toolmaker; omen interpreter; healer; strategist; river gatherer; net maker,master toolmaker; town planner,inventor; architect; irrigation trench digger; kitchen hand; market seller; messenger,chariot master; scribe; court astrologer; alchemist-priest,philosopher; strategist; engineer; cult theorist; road repair crew; experimental physician,dueling judge,scholar; inventor; court advisor; theologian; mill worker; shepherd,siege engineer; alchemist,researcher; experimental artist; field service technician; delivery driver; machine operator; maintenance worker,crisis mediator; scientist; intelligence analyst; founding merchant,0.65,0.55,curiosity; creativity; focus; neurochemical volatility,brilliant but unstable specialization,"Researcher, inventor, founder, and artist also belong under creativity/curiosity when excess creates breakthrough risk.",Good source of innovation and disaster. Excellent goblin lever.
symmetry,deficient,left asymmetry,low,poor,medium,scout; hide scraper; night watch; trapper; bone tool maker; masked ritual helper,tribal champion,tannery worker; field laborer; mine worker; dock hand; dock porter; back-room artisan,royal workshop specialist,messenger; scribe assistant; foundry worker; grave tender; mill assistant; camp follower support,siege craft specialist,masked performer; cloister worker; gong farmer; tanner; parish laborer; executioner assistant,guild master,remote specialist; character actor; lab technician; voice worker; medical aide; back-office analyst,master artisan,0.45,0.50,resilience; humility; focus; intellect,unfavored appearance and outsider presentation,Back-office specialist and scout can repeat under focus/resilience/perception.,Do not make asymmetry equal incompetence; make it affect social presentation and status bias.
symmetry,optimal,peak symmetry,high,strong,high,ceremonial figure; storyteller; dancer; hide preparer; messenger; hunter,spirit guide; marriage diplomat,temple performer; court attendant; messenger; kiln assistant; public ritual figure; brick maker,temple astronomer; diplomat,actor; interpreter; public speaker; ferry hand; farmhand; cooper,arena master; court entertainer [F]; ambassador,court performer; herald; messenger; town crier assistant; field hand; chandler,clockmaker; portrait model; diplomat,influencer; media host; messenger; actor; model; dispatch clerk; spokesperson,master architect; diplomat,0.70,0.35,persuasion; friendliness; wit; ambition,beauty charisma and public presentation,"Actor, diplomat, spokesperson, host, and leader repeat wherever social presence matters.","Symmetry is beauty/presentation, not moral quality."
symmetry,excess,right asymmetry,low,poor,medium,shamanic figure; masked dancer; feared envoy; omen bearer; camp cook; taboo-marked scout,master toolmaker,exotic performer; feared guard; ritual specialist; court figure; brick carrier; irrigation digger,chariot master; oracle attendant,spy; cult icon; village smith helper; prophetic figure; dock worker; charcoal burner,dueling judge; gladiator; shock entertainer,mystic; spy; brewery assistant; baker; tailor; wheelwright,siege engineer; jester; inquisitor; bounty hunter,avant-garde performer; horror actor; special-effects model; activist icon; shift supervisor; store stocker,crisis mediator; influencer; brand ambassador,0.35,0.55,creativity; persuasion; courage; civics,unfavored appearance and outsider presentation,"Performer, spy, influencer, and activist roles repeat under creativity/persuasion/civics.","Excess beauty/asymmetry can be magnetism, stigma, or both depending on culture."
mating drive,deficient,absent mating drive,low-variable,moderate,low,archivist of memory; solitary trapper; hermit gatherer; ritual celibate; river gatherer; child-free craft specialist,tribal champion,warehouse keeper; temple celibate; night watch; scribe; irrigation trench digger; dedicated artisan,royal workshop specialist,solitary scout; philosopher; archivist; guardian; road repair crew; monk-like ascetic,siege craft specialist,scholar; copyist; hermit; monk; nun [F]; mill worker; celibate physician,guild master,research scientist; archivist; night technician; software engineer; caretaker without family tie; field service technician,master artisan; lay brother,0.50,0.25,discipline; focus; intellect; humility,low courtship low lineage pressure,"Scientist, scholar, archivist, and technician repeat under focus/intellect/discipline.","This trait is about drive and family orientation, not identity."
mating drive,optimal,reproductive mating drive,middle-high,moderate,medium,adoption broker; matchmaker; camp host; homemaker; bone tool maker; kin-network builder,spirit guide,midwife assistant; marriage broker; estate steward; messenger; dock porter; household manager,temple astronomer; clan diplomat,household head; family farmer; guild member; matchmaker; mill assistant; clan representative,arena master,village elder; guild member; householder; matchmaker; parish laborer; estate steward,clockmaker; guild master,family counselor; pediatric worker; HR generalist; teacher; medical aide; community organizer,master architect,0.80,0.25,friendliness; nurturance; loyalty; generosity,family formation alliance and continuity,"Teacher, counselor, organizer, and leader repeat with empathy/nurturance/friendliness.","Useful where kinship, household continuity, and alliance building matter."
mating drive,excess,compulsive mating drive,volatile,poor,high,matchmaker; market seller; camp host; seducer; hide preparer; charismatic performer,master toolmaker,court entertainer; messenger; tavern host; guard; kiln assistant; brewer,chariot master; temple priest; diplomat,soldier-of-fortune; charismatic actor; tavern worker; gossip monger; ferry hand; courtier,dueling judge,tavern keeper; troubadour; courtier; rake; town crier assistant; envoy,siege engineer,influencer; dating coach; scandal-prone politician; entertainer; dispatch clerk; janitor,crisis mediator; event promoter; public figure,0.25,0.75,symmetry; persuasion; wit; neurochemical volatility,romance scandal and social distraction,"Entertainer, influencer, politician, and courtier repeat with beauty/persuasion/wit.","High social power, high chaos. Keep it PG enough for general gameplay."
neurochemical,deficient,emotionally suppressed,middle-variable,strong,medium,corpse handler; night watch; stoic guard; trapper; camp cook; execution helper,tribal champion,tax collector; record keeper; prison guard; executioner; brick carrier; temple mortuary worker,royal workshop specialist,debt collector; stoic soldier; executioner; jailer; village smith helper; surgeon assistant,siege craft specialist,executioner; mortuary worker; prison guard; tax assessor; brewery assistant; porter,guild master; inquisitor clerk,forensic analyst; guard; insurance adjuster; mortician; auditor; shift supervisor; cybersecurity analyst,master artisan; compliance officer,0.70,0.45,discipline; honesty; focus; resilience,low affect endurance and detachment,"Auditor, compliance officer, analyst, and mortician repeat under discipline/focus/honesty.",Can be socially cold but useful in emotionally hard work.
