event_type,incident_kind,event_family,display_name,context_tags,consequence_profile,default_record_type,default_visibility,selection_weight,notes
murder,murder,violent_crime,murder,ordinary,death,violent_crime_record,rumored,1.00,Baseline lethal violence.
murder,domestic_murder,violent_crime,domestic murder,domestic;household,death,violent_crime_record,rumored,1.00,Partner or paramour conflict turns lethal.
murder,kin_killing,violent_crime,kin killing,kin;household,death,violent_crime_record,rumored,0.75,Family grievance turns lethal.
murder,feud_killing,violent_crime,feud killing,feud;revenge,death,violent_crime_record,rumored,1.00,Retaliatory killing tied to feud logic.
murder,feud_murder,violent_crime,feud murder,feud;revenge,death,violent_crime_record,rumored,0.75,Less sanctioned feud killing.
murder,rash_brawl_killing,violent_crime,rash brawl killing,brawl;impulse,death,violent_crime_record,rumored,1.00,Impulsive quarrel turns lethal.
murder,ambush_killing,violent_crime,ambush killing,predatory;planned,death,violent_crime_record,rumored,0.60,Premeditated attack outside public order.
murder,predatory_murder,violent_crime,predatory murder,predatory;planned,death,violent_crime_record,rumored,1.00,Low empathy and forceful intent.
violent_crime,domestic_killing,violent_crime,domestic killing,domestic;household,death,violent_crime_record,rumored,1.00,Ontology row for lethal household violence.
violent_crime,attempted_murder,violent_crime,attempted murder,attempted;planned;violence,injury,violent_crime_record,rumored,1.00,Nonfatal but consequential murder attempt.
violent_crime,assault,violent_crime,assault,brawl;injury;impulse,injury,violent_crime_record,rumored,1.00,Lower-impact violent confrontation.
violent_crime,duel,violent_crime,duel,duel;honor;public,injury_or_death,violent_crime_record,public_known,1.00,Formal public violence over reputation or insult.
violent_crime,assassination_attempt,violent_crime,assassination attempt,office;plot;attempted,injury,violent_crime_record,rumored,1.00,High-impact attempt against an officeholder or public target.
property_crime,theft,property_crime,theft,theft,property_loss,property_crime_record,rumored,1.00,Baseline opportunistic theft.
property_crime,livestock_theft,property_crime,livestock theft,theft;survival;valuable_target,property_loss,property_crime_record,rumored,0.85,Rural survival or market theft.
property_crime,storehouse_robbery,property_crime,storehouse robbery,theft;survival;scarcity;valuable_target,property_loss,property_crime_record,rumored,0.80,Scarcity crime against stored goods.
property_crime,market_stall_theft,property_crime,market stall theft,theft;market,property_loss,property_crime_record,rumored,0.75,Market theft with witnesses.
property_crime,fraud,property_crime,fraud,fraud,property_loss,property_crime_record,rumored,1.00,Baseline deception crime.
property_crime,debt_fraud,property_crime,debt fraud,fraud;debt,property_loss,property_crime_record,rumored,0.85,Fraud emerging from debt or hardship.
