source_id,source_file,source_line,section,subsection,date_text,history_year_from,history_year_to,history_year,date_quality,title,summary,wiki_links,parse_notes
invsrc_0001,Timeline of historic inventions.wiki,17,Paleolithic,Lower Paleolithic,3.3 Mya – 2.6 Mya,-3297974,-2597974,-2947974,range,Stone tool,Stone tools - found in modern-day Kenya are older and only found on the archetype road. Ancient stone tools from Ethiopia (Oldowan) were hand-crafted by Australopithecus or related people.,Stone tool;Kenya;Ethiopia;Oldowan;Australopithecus,
invsrc_0002,Timeline of historic inventions.wiki,18,Paleolithic,Lower Paleolithic,2.3 Mya,-2297974,-2297974,-2297974,approximate,Control of fire and cooking,Earliest likely control of fire and cooking.,Control of fire by early humans;cooking;Homo habilis,
invsrc_0003,Timeline of historic inventions.wiki,19,Paleolithic,Lower Paleolithic,1.76 Mya,-1757974,-1757974,-1757974,approximate,Acheulean stone tools,Advanced (Acheulean) stone tools in Kenya.,Acheulean;Kenya;Homo erectus,
invsrc_0004,Timeline of historic inventions.wiki,20,Paleolithic,Lower Paleolithic,1.75 Mya – 150 kya,-1747974,-147974,-947974,range,Language,Varying estimates for the origin of language.,origin of language,
invsrc_0005,Timeline of historic inventions.wiki,21,Paleolithic,Lower Paleolithic,1.5 Mya,-1497974,-1497974,-1497974,approximate,Bone tool,Bone tools in Africa.,Bone tool;Homo erectus;Paranthropus boisei,
invsrc_0006,Timeline of historic inventions.wiki,22,Paleolithic,Lower Paleolithic,900 kya – 40 kya,-897974,-37974,-467974,range,Boats,Boats.,Boat,
invsrc_0007,Timeline of historic inventions.wiki,28,Paleolithic,Lower Paleolithic,500 kya,-497974,-497974,-497974,approximate,Hafting,Hafting in South Africa.,Hafting;Homo heidelbergensis,
invsrc_0008,Timeline of historic inventions.wiki,29,Paleolithic,Lower Paleolithic,500 kya – 450 kya,-497974,-447974,-472974,range,Woodworking,Woodworking construction in Zambia.,Woodworking;Zambia;Homo heidelbergensis;List of oldest extant buildings;Deutsches Archäologisches Institut,
invsrc_0009,Timeline of historic inventions.wiki,30,Paleolithic,Lower Paleolithic,420 – 200 kya,-417974,-197974,-307974,range,Food storage,"Food storage in the form of uncracked bones saved for their marrow in Qesem cave, Palestine.",Food storage;Qesem cave,
invsrc_0010,Timeline of historic inventions.wiki,31,Paleolithic,Lower Paleolithic,400 kya,-397974,-397974,-397974,approximate,"Hide and leather clothing, footwear and shelter","Hide and leather clothing, footwear and shelter.",History of hide materials,
invsrc_0011,Timeline of historic inventions.wiki,32,Paleolithic,Lower Paleolithic,400 kya,-397974,-397974,-397974,approximate,Pigment,Pigments in Zambia.,Pigment;Homo heidelbergensis,
invsrc_0012,Timeline of historic inventions.wiki,33,Paleolithic,Lower Paleolithic,337 kya – 300 kya,-334974,-297974,-316474,range,Schöningen spears,Schöningen Spears in Germany likely.,Schöningen spears;Spear;Germany;Homo heidelbergensis,
invsrc_0013,Timeline of historic inventions.wiki,34,Paleolithic,Lower Paleolithic,320 kya,-317974,-317974,-317974,approximate,Long-distance trade,"The trade and long-distance (up to 50 miles) transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya.",trade;transportation;NPR;The Atlantic,
invsrc_0014,Timeline of historic inventions.wiki,38,Paleolithic,Middle Paleolithic,279 kya,-276974,-276974,-276974,approximate,Hafting and early stone-tipped projectile weapons,Hafting and early stone-tipped projectile weapons in Ethiopia.,Hafting,
invsrc_0015,Timeline of historic inventions.wiki,39,Paleolithic,Middle Paleolithic,200 kya,-197974,-197974,-197974,approximate,Adhesive,"Simple glue (adhesive) made of one kind of material, birch tar, in Central Italy.",adhesive,
invsrc_0016,Timeline of historic inventions.wiki,40,Paleolithic,Middle Paleolithic,200 kya,-197974,-197974,-197974,approximate,Beds,Beds in South Africa.,Bed,
invsrc_0017,Timeline of historic inventions.wiki,41,Paleolithic,Middle Paleolithic,170 kya – 90 kya,-167974,-87974,-127974,range,Clothing,"Clothing, among anatomically modern humans in Africa. Genetic evidence from body lice suggests a range of dates centering over 100 thousand years ago. The first bone scrapers appropriate for scraping hides to make supple leather were found in Morocco dating to 90–120,000 years ago.",History of clothing and textiles;Bone tool;iScience;The Guardian,
invsrc_0018,Timeline of historic inventions.wiki,42,Paleolithic,Middle Paleolithic,164 kya – 47 kya,-161974,-44974,-103474,range,Heat treating of stone blades,Heat treating of stone blades in South Africa.,,
invsrc_0019,Timeline of historic inventions.wiki,43,Paleolithic,Middle Paleolithic,135 kya – 100 kya,-132974,-97974,-115474,range,Bead,Beads in Palestine and Algeria — implying string or thread.,Bead;Algeria,
invsrc_0020,Timeline of historic inventions.wiki,44,Paleolithic,Middle Paleolithic,100 kya,-97974,-97974,-97974,approximate,"Ochre processed, and compound paints made","Ochre processed, and compound paints made in South Africa.",Blombos Cave;paint;BBC News;Washington Post,
invsrc_0021,Timeline of historic inventions.wiki,45,Paleolithic,Middle Paleolithic,100 kya,-97974,-97974,-97974,approximate,Funerals,Funerals (in the form of burial) in Palestine.,burial,
invsrc_0022,Timeline of historic inventions.wiki,46,Paleolithic,Middle Paleolithic,90 kya,-87974,-87974,-87974,approximate,Harpoons,Harpoons in the Democratic Republic of the Congo.,Harpoon;Democratic Republic of the Congo,
invsrc_0023,Timeline of historic inventions.wiki,48,Paleolithic,Middle Paleolithic,70 kya – 60 kya,-67974,-57974,-62974,range,Compound adhesive,Compound adhesives in Sibudu Cave in South Africa.,Adhesive;Sibudu Cave,
invsrc_0024,Timeline of historic inventions.wiki,49,Paleolithic,Middle Paleolithic,70 kya – 60 kya,-67974,-57974,-62974,range,Arrow,Arrows and other evidence of bow-and-arrow technology in Sibudu Cave in South Africa.,Arrow;Sibudu Cave,
invsrc_0025,Timeline of historic inventions.wiki,50,Paleolithic,Middle Paleolithic,70 kya – 60 kya,-67974,-57974,-62974,range,Sewing needle,Sewing needle (implying thread of some kind) in Sibudu Cave in South Africa.,Sewing needle;Sibudu Cave,
invsrc_0026,Timeline of historic inventions.wiki,51,Paleolithic,Middle Paleolithic,62 kya – 61 kya,-59974,-58974,-59474,range,Cave painting,Cave painting in Spain.,Cave painting;Spain;Neanderthal;Cave of Maltravieso,
invsrc_0027,Timeline of historic inventions.wiki,55,Paleolithic,Middle Paleolithic,59–49 kya,-56974,-46974,-51974,range,Dentistry,Dentistry in southwestern Siberia.,Dentistry;Siberia,
invsrc_0028,Timeline of historic inventions.wiki,56,Paleolithic,Middle Paleolithic,55.8–51.2 kya,-53774,-49174,-51474,range,Representational art,Representational and Narrative art in Indonesia.,Representation (arts);Narrative art;Indonesia,
invsrc_0029,Timeline of historic inventions.wiki,60,Paleolithic,Upper Paleolithic to Early Mesolithic,49 kya – 30 kya,-46974,-27974,-37474,range,Ground stone tools,"Ground stone tools – fragments of an axe in Australia date to 49–45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic.",Ground stone,
